,,,OCM,LHan,OCM,LHan,,OCM,LHan,OCM,LHan,OCM,LHan,,OCM,LHan,OCM,LHan
422,1800b. A,䐣,???,???,,,遜,sûns,suənꟲ,,,,,,,,,
423,1281b. B,臤,"khins, khrîn","kʰinꟲ, kʰɛn",,,鏗,khrêŋ,kʰɛŋ,,,,,,,,,
424,538b. A,㹂,???,???,,,賢,ɡîn,ɡen,,,,,,,,,
425,1334b. C. alt.,𢺹,prən,pɨn,,,彬,prən,pɨn,,,,,,,,,
426,4700b. A,忞,mrən (or mun?),mɨn,,,旻,mrən (or mun?),mɨn,,,,,,,,,
427,2385a. B,棆,???,???,,,屯,trun, ṭuin,,,,,,,,,
428,3431. B,㡒,trun, ṭuin,,,屯,trun, ṭuin,,,,,,,,,
429,179a. A,璡,tsin,tsin,,,津,tsin,tsin,,,,,,,,,
430,1274a. A,𦘔,tsin,tsin,,,津,tsin,tsin,,,,,,,,,
431,124b. A,珣,???,???,,,宣,swan,syan,,,,,,,,,
432,2827b. A*,郇,???,???,,,泓,???,???,,,,,,,,,
433,676b. A,𧾝,"s-lun, m-lun","zuin, źuin",,,紃,"s-lun, m-lun","zuin, źuin",,,,,,,,,
434,1070b. A,謓,???,???,,,振,təns,tśɨnꟲ,,,,,,,,,
435,975a. A,諄,tun,tźuin,,,庉,???,???,,,,,,,,,
436,2283b. A,𦎧,dun,dźuin,,,純,dun,dźuin,,,,,,,,,
437,4566b. A,𡗥,dun,dźuin,,,鶉,dun,dźuin,,,,,,,,,
438,6422b. A*,輑,???,???,,,帬,ɡwən,ɡun,,,,,褌,???,???,,
439,2116b. A,䖜,???,???,,,憖,ŋrins or ŋrəns,ŋɨnꟲ,,,,,,,,,
440,1226a. A,𩰝,???,???,,,賓,pin,pin,,,,,,,,,
441,6119b. A,𡊄,pəns,punꟲ,,,糞,pəns,punꟲ,,,,,,,,,
442,287a. A,莙,???,???,,,威,ʔui,ʔui,,,,,,,,,
443,2942b. A,昕,hən,hɨən,,,希,həi,hɨi,,,,,,,,,
444,2739b. B,𧶊,???,???,,,鄖,???,???,,,,,,,,,
445,4956b. A,沄,???,???,,,混,ɡûnʔ!,ɣuənᴮ,,,,,,,,,
446,6459b. A,轃,tsrin,tṣin,,,臻,tsrin,tṣin,,,,,,,,,
447,4546a. B,燊,srin,ṣin,,,莘,srin,ṣin,,,,,,,,,
448,5457b. A,扟,srin,ṣin,,,莘,srin,ṣin,,,,,,,,,
449,6242a. A,𨐂,???,???,,,閔,???,???,,,,,,,,,
450,5894a. A,紖,drinʔ,ḍinᴮ,,,矤,hinʔ or nhinʔ,śinᴮ,,,,,,,,,
451,6130a. A,埻,tunʔ,tśuinᴮ,,,準,tunʔ,tśuinᴮ,,,,,,,,,
452,3887b. A,㰮,dənʔ,dźɨnᴮ,,,蜃,dənʔ,dźɨnᴮ,,,,,,,,,
453,(5178a). A*,霣,wrənʔ R!,wɨnᴮ,,,昆,kûn,kuən,,,,,,,,,
454,6319b. A*,鈗,junʔ,juinᴮ,,,允,junʔ,juinᴮ,,,,,,,,,
455,5448a. A,扮,"bən, bənʔ",bun(ᴮ),,,粉,pənʔ,punᴮ,,,,,,,,,
