鵠	gouk kouk
氾	pʰuɑmᶜ buɑmᶜ
汎	pʰuɑmᶜ
泛	pʰuɑmᶜ
犯	buɑmᴮ
飯	buɑnᶜ buɑn
方	puɑŋ
舫	puɑŋᶜ
放	puɑŋᴮ puɑŋᶜ
芳	pʰuɑŋ
坊	buɑŋ
防	buɑŋ
房	buɑŋ
紡	pʰuɑŋᴮ
訪	pʰuɑŋᶜ
聘	pʰieŋᶜ
非	pui
誹	pui puiᶜ
扉	pui
棐	puiᴮ
飛	pui
妃	pʰui
肥	bui
腓	bui
匪	puiᴮ
胐	pʰət pʰuiᴮ
吠	buɑs
芾	put
肺	pʰuas
沸	pus put
廢	puɑs
分	pun bunᶜ
雰	pʰun
氛	pʰun bun
饙	pun
紛	pʰun
芬	pʰun
翂	pun
奮	punᶜ
焚	bun
墳	bun bunᴮ
憤	bunᴮ
忿	pʰunᴮ pʰunᶜ
濆	bun
粉	punᴮ
秎	bunᶜ
糞	punᶜ
丰	pʰuoŋ
封	puoŋ
犎	puoŋ
鋒	pʰuoŋ
蜂	pʰuoŋ
縫	buoŋ buoŋᶜ
峰	pʰuoŋ
豐	pʰuŋ
風	puŋ puəm
諷	puəmᶜ puŋᶜ
渢	buəm buŋ
楓	puŋ puəm
逢	buoŋ
夆	buoŋ
摓	buoŋ
奉	pʰuoŋᴮ buoŋᴮ
俸	buoŋᶜ
鳳	puəmᶜ buŋᶜ mie me ŋe
夫	buɑ puɑ
鈇	puɑ
柎	puo
扶	buɑ puɑ
傅	puɑᶜ
賻	buɑᶜ
輔	buɑᴮ
伏	buk buᶜ
服	buk
符	buo
拂	pʰut
茀	put
韍	put
黻	put
浮	bu
桴	pʰuo boᴮ buoᴮ
泭	pʰuo
蜉	bu
福	puk
富	puᶜ
斧	puɑᴮ
府	puoᴮ
腐	puoᴮ
膚	puɑ
撫	pʰuɑᴮ
拊	pʰuoᴮ
父	buɑᴮ
付	puoᶜ
附	buoᶜ
垘	buoᶜ
胕	buoᶜ
蚹	buoᶜ
阜	buᴮ
垺	pʰu pʰə pʰio
婦	buᴮ
賦	puɑᶜ
負	buᴮ
復	buk buᶜ
複	puk
覆	pʰuk pʰuᶜ
腹	puk
蝮	pʰuk
縛	buɑk
陔	kəi
改	kəiᴮ
蓋	gɑp kɑs
干	kɑn
扞	gɑnᶜ
閈	gɑnᶜ
竿	kɑn
簳	kɑnᴮ
笴	kɑiᴮ kɑnᴮ
箇	kɑiᶜ
個	kɑiᶜ
肝	kɑn
甘	kɑm
酣	gɑm
柑	giɑm
乾	kɑn giɑn
旱	gɑnᴮ
敢	kɑmᴮ
感	kəmᴮ
幹	kɑnᶜ
翰	gɑnᶜ
紺	kəmᶜ
亢	kɑŋ
岡	kɑŋ
綱	kɑŋ
剛	kɑŋ
鋼	kɑŋ
彊	giɑŋᴮ an giɑŋ
犅	kɑŋ
港	kɔŋᴮ
高	kɑu kɑuᶜ
膏	kɑu kɑuᶜ
羔	kɑu
櫜	kou
弢	tʰou
暠	kɑuᴮ
皓	gouᴮ kouᴮ
皋	kouᴮ
告	kouk kouᶜ
誥	kouᶜ
戈	kuɑi
歌	kɑi
割	kɑt
害	gɑs
犗	kas
胳	kɑk
革	kɛk
隔	kɛk
膈	kɛk
格	kak kɑk
假	kaᴮ
骼	kak k(ʰ)ak kɑk
觡	kak
閣	kɑk
閤	kəp
蛤	kəp
哿	kɑiᴮ
各	kɑk
舉	kiɑɁ kiɑᴮ
鬲	kɛk
吏	kat kɛt liəᶜ
根	kən
艮	kənᶜ
更	kaŋ kaŋᶜ
賡	kaŋ kaŋᶜ
庚	kaŋ
耕	kɛŋ
耿	kɛŋᴮ
梗	kaŋᴮ
哽	kaŋᴮ ts(ʰ)iun
鯁	kaŋᴮ
恆	kəŋᶜ gəŋ
工	koŋ
功	koŋ
攻	koŋ
弓	kuŋ
躬	kuŋ
公	koŋ
鴻	goŋ
肱	kwəŋ
鞃	kʰwəŋ kwəŋ
宮	kuŋ
觥	kuaŋ
恭	kɨoŋ
龔	kɨoŋ
供	kioŋ kioŋᶜ
拱	kioŋᴮ
拲	kioŋᴮ
共	gioŋᶜ kioŋᴮ
貢	koŋᶜ
句	ko
鉤	ko
枸	ko
區	ko
痀	kio
胊	gio
軥	gio
傴	Ɂioᴮ
溝	ko
篝	ko
狗	koᴮ
垢	koᴮ
淈	guət kuət
詬	koᴮ kʰoᶜ hoᶜ
冓	koᶜ
遘	koᶜ
覯	koᶜ
姤	koᶜ
購	koᶜ
姑	kɑ
酤	kɑ kɑɁ
孤	kuɑ
罛	kuɑ
軱	kuɑ
古	kɑᴮ
故	kɑᶜ
牯	ko
罟	kɑᴮ
谷	kok jok
股	kɑᴮ
羖	kɑᴮ
骨	kuət
鼓	kɑᴮ
賈	kɑᴮ kaᶜ
牟	kouk kiauk mu
穀	kok
鷇	kʰoᶜ
盬	kɑᴮ
蠱	kɑᴮ
固	kɑᶜ
錮	kɑᶜ
沍	gɑᶜ
牿	kouk
雇	kɑᶜ
顧	kɑᶜ
瓜	kua
蝸	luɑi loi kɔi kuai
刮	kuat
寡	kuaᴮ
鰥	kuɛn
挂	kuɛᶜ
怪	kuɛᶜ
夬	kuas
官	kuɑn
倌	kuɑn
管	kuɑn kuɑnᴮ
貫	kuɑn kuɑnᶜ kuanᶜ
棺	kuɑn kuɑnᶜ
冠	kuɑn kuɑnᶜ
關	kuan Ɂuan
觀	kuɑn kuɑnᶜ
痯	kuɑnᴮ
丱	kuanᶜ
涫	kuɑnᶜ
摜	kuanᶜ
慣	kuanᶜ
盥	kuɑnᶜ kuɑnᴮ
浣	ɣuɑnᶜ
灌	kuɑnᶜ
光	kuɑŋ
曠	kʰuɑŋᶜ
迋	gyɑŋᴮ wɑŋᶜ
廣	kuɑŋᴮ
擴	kʰuɑk
潢	guɑŋ
規	kuie
嶲	ɣue
傀	kuəi
瑰	kuəi
歸	kui
龜	ku kuiə
鬼	kuiᴮ
匭	kwiəᴮ
簋	kwiəᴮ
貴	kus kuis
跪	gyaiᴮ gioiᴮ
會	guɑs kuɑs
襘	kuɑs
撅	gyɑt kios kyas
緄	kuənᴮ
稛	kʰuənᴮ
混	guənᴮ
活	guɑt
鍋	kuɑi koi
國	kuək
域	wək
閾	wək hwik
淢	hwik
囿	wuᶜ
果	kuɑiᴮ koiᴮ
輠	goiᶜ guaiᴮ guɑiᶜ
過	kuɑiᶜ koiᶜ kuɑi koi
骸	gɛi
海	həᴮ
醢	həᴮ
亥	gəᴮ
含	gəm gəmᶜ
函	gəm
頷	gəmᴮ
寒	gɑn
涵	Ɣəm
闞	hamᴮ
汗	gɑnᶜ
漢	hɑnᶜ mit
暵	hɑnᴮ hɑnᶜ
熯	hɑnᴮ
鑑	kamᶜ gamᶜ
濫	lɑmᶜ gɑmᶜ lɑmᴮ
行	gɑŋ gɑŋᶜ gaŋ gaŋᶜ gɑŋ
頏	gɑŋ
航	gɑŋ
杭	gɑŋ
撓	hɑu ṇauᴮ
薅	hou
茠	hou
號	gɑu gɑuᶜ
讙	xyɑn xion xuɑn
好	houᴮ houᶜ
浩	gouᴮ
昊	gouᴮ
喝	həp
欱	həp
禾	guɑi
和	Ɣuɑi Ɣuɑiᶜ
何	gɑi gɑiᴮ
胡	gɑ
遐	ga
奚	ge
曷	gɑt
盍	gɑp
河	gɑi
合	gəp
洽	gɛp
核	gɛk
涸	gɑk
舐	gak źeᴮ
翮	gɛk
荷	gɑiᴮ
鶴	gɑk gɑuk
賀	gɑiᶜ
赫	hak
嚇	haᶜ hak
覤	hiɑk
虩	hiɑk
嗃	hauᶜ
黑	hək
墨	mək
恨	gənᶜ
佷	gənᴮ
衡	gaŋ guaŋ
虹	goŋ kɔŋᶜ
紅	goŋ
彤	douŋ
訌	goŋ
洪	goŋ
洚	goŋ gouŋ g/kɔŋᶜ
